bank_id,word,level,pos,sentence
1,ask,A1,verb,Did you ask the price?
2,ask,A1,verb,Can I ask a question?
3,ask,A1,verb,I'm not asking for money.
4,ask,A1,verb,"Well, she asked for it!"
5,ask,A1,verb,Eric asked me to marry him.
6,ask,A1,verb,I asked to see the manager.
7,ask,A1,verb,The police asked him several questions.
8,ask,A1,verb,'Where are you going?' she asked.
9,ask,A1,verb,Why don't you ask his advice?
10,ask,A1,verb,"If you want anything, just ask."
11,ask,A1,verb,We must ask the neighbours round.
12,ask,A1,verb,You're asking too much of him.
13,ask,A1,verb,I was asked if I could drive.
14,ask,A1,verb,I wanted to ask him a question.
15,ask,A1,verb,Don't be afraid to ask for help.
556,ask,A1,verb,I asked my parents nicely for a new book
16,brush,A1,verb,The leaves brushed her cheek.
17,brush,A1,verb,Brush the pastry with beaten egg.
18,brush,A1,verb,I brushed the dirt off my jacket.
19,brush,A1,verb,I brushed the crumbs off the table.
20,brush,A1,verb,A tiled floor is easy to brush clean.
21,brush,A1,verb,You can brush your hair.
22,brush,A1,verb,I clean the shoes with a brush
23,brush,A1,verb,Painters need a big brush.
24,brush,A1,verb,Mom paints with a small brush.
25,brush,A1,verb,Take a brush and clean shoes.
197,brush,A1,verb,I like my new brush
198,brush,A1,verb,It is difficult to paint with an old brush
199,brush,A1,verb,I like brushing the hair of my sister
200,brush,A1,verb,To brush your teeth you need a toothbrush
201,brush,A1,verb,My hair is easy to brush
202,brush,A1,verb,Can you brush the hair of a baby?
26,buy,A1,verb,I bought my car second-hand.
27,buy,A1,verb,Where did you buy that dress?
28,buy,A1,verb,Mum bought me a new coat.
29,buy,A1,verb,Five pounds doesn't buy much nowadays.
30,buy,A1,verb,Now is a good time to buy.
31,buy,A1,verb,It's generally cheaper if you buy online.
32,buy,A1,verb,Young people are very comfortable buying online.
33,buy,A1,verb,There are some things money can't buy.
34,buy,A1,verb,Can I buy you something to eat?
35,buy,A1,verb,I can't afford to buy a new car.
36,buy,A1,verb,No one would buy her the pink house.
37,buy,A1,verb,People buy food at the market.
38,buy,A1,verb,You can sell or buy a ticket.
39,buy,A1,verb,We buy and sell things online.
203,buy,A1,verb,I do not like buying expensive things
204,buy,A1,verb,I like buying cheap things
205,buy,A1,verb,I sell my old car to buy a new one
206,buy,A1,verb,I buy a lot of drinks in the summer
40,call,A1,verb,I'll call again later.
41,call,A1,verb,Someone called the police.
42,call,A1,verb,Stop calling me names!
43,call,A1,verb,What's her sister called?
44,call,A1,verb,Let's call on John.
45,call,A1,verb,Just call me lucky.
46,call,A1,verb,Did somebody call my name?
47,call,A1,verb,'See you later!' she called.
48,call,A1,verb,The union called a strike.
49,call,A1,verb,I'll call you a taxi.
50,call,A1,verb,Let's call it ten pounds.
51,call,A1,verb,I call this place cold.
52,call,A1,verb,I don't know anyone called Scott.
53,call,A1,verb,I'll call a taxi for you.
54,call,A1,verb,Are you calling me a liar?
557,call,A1,verb,My dog is called Blacky
558,call,A1,verb,I can not call my parents because I forgot my phone.
559,call,A1,verb,"I do not like calling, I get nervous."
55,catch,A1,verb,The murderer was never caught.
56,catch,A1,verb,The wooden rafters caught fire.
57,catch,A1,verb,I caught him when he tripped.
58,catch,A1,verb,How many fish did you catch?
59,catch,A1,verb,Can you catch the waiter's eye?
60,catch,A1,verb,Our cat is hopeless at catching mice.
61,catch,A1,verb,I caught her lying to me again.
62,catch,A1,verb,You've caught me at a bad time.
63,catch,A1,verb,The artist has caught her smile perfectly.
64,catch,A1,verb,The dog caught the stick in its mouth.
65,catch,A1,verb,I must go—I have a train to catch.
66,catch,A1,verb,A sign on the wall caught my attention.
67,catch,A1,verb,"Sorry, I didn't quite catch what you said."
68,catch,A1,verb,Mark walked in and caught them at it.
69,catch,A1,verb,I was hoping to catch you at home.
560,catch,A1,verb,In football you can not catch the ball with your hands
561,catch,A1,verb,"In baseball, it is important to catch the ball stongly"
562,catch,A1,verb,"Catch the ball, do not drop it"
563,catch,A1,verb,I catch the bus every morning
564,catch,A1,verb,When I run fast no one can catch me
74,clean,A1,adjective,Are your hands clean?
75,clean,A1,adjective,The hotel was spotlessly clean.
76,clean,A1,adjective,Cats are very clean animals.
77,clean,A1,adjective,Keep the jokes clean please!
78,clean,A1,adjective,I can't find a clean shirt.
79,clean,A1,adjective,The room smelled clean and fresh.
80,clean,A1,adjective,The plane made a clean take-off.
81,clean,A1,adjective,The sport has a very clean image.
82,clean,A1,adjective,A sharp knife makes a clean cut.
83,clean,A1,adjective,I scrubbed the floor to get it clean.
84,clean,A1,adjective,Start again on a clean sheet of paper.
85,clean,A1,adjective,The police searched her but she was clean.
86,clean,A1,adjective,Thousands were left without food or clean drinking water.
87,clean,A1,adjective,The design has clean lines and a bright appearance.
88,clean,A1,adjective,Fresh water is very clean here.
565,clean,A1,adjective,Please do not drink that water; it is not clean
566,clean,A1,adjective,I need to clean my glasses; they are dirty
567,clean,A1,adjective,Your desk is dirty; please clean it
568,clean,A1,adjective,The baby's clothes are never clean after eating.
569,clean,A1,adjective,Cats like cleaning themselves.
90,cook,A1,verb,The vegetables were cooked perfectly.
91,cook,A1,verb,Who's going to cook supper?
92,cook,A1,verb,Where did you learn to cook?
93,cook,A1,verb,My husband is a great cook.
95,cook,A1,verb,What's the best way to cook trout?
96,cook,A1,verb,Make sure you cook the meat well.
97,cook,A1,verb,Ensure that the meat is cooked through.
98,cook,A1,verb,Cook me something else for a change.
99,cook,A1,verb,Add the onion and cook for three minutes.
100,cook,A1,verb,"While the pasta is cooking, prepare the sauce."
101,cook,A1,verb,Turn the fish over so that it cooks evenly.
102,cook,A1,verb,People cook food in the kitchen.
570,cook,A1,verb,I like cooking pasta and pizza
571,cook,A1,verb,"I do not have time to cook, so I go to the conbini"
572,cook,A1,verb,"My father is a good cook, his pizza recipe is the best"
573,cook,A1,verb,I want to learn how to cook
574,cook,A1,verb,Cooking is a good skill to have
575,cook,A1,verb,Without a kitchen you can not cook
576,cook,A1,verb,You cannot cook a cheesecake without cheese
